ID,FIRST_NAME,LAST_NAME,AGE,YEAR_OF_BIRTH,ADDRESS,PHONE_NUMBER,GENDER,CREATED_TIMESTAMP
1,John,Doe,30,01-01-1993,123 Elm St,555-0101,Male,01-10-2023 10:00
2,Jane,Smith,,01-01-1998,456 Oak St,555-0102,Female,01-10-2023 11:00
3,Alice,Johnson,40,01-01-1983,789 Pine St,555-0103,Female,01-10-2023 12:00
4,Mark,Taylor,22,01-01-2001,101 Maple St,555-0104,Male,01-10-2023 13:00
5,Emily,Williams,35,01-01-1988,202 Birch St,555-0105,Female,01-10-2023 14:00
6,Michael,Brown,,01-01-1992,303 Cedar St,555-0106,Male,01-10-2023 15:00
7,Jessica,Davis,29,01-01-1994,404 Spruce St,555-0107,Female,01-10-2023 16:00
8,David,Garcia,,01-01-1985,505 Fir St,555-0108,Male,01-10-2023 17:00
9,Sarah,Miller,27,01-01-1996,606 Aspen St,555-0109,Female,01-10-2023 18:00
10,Chris,Martinez,,01-01-2000,707 Willow St,555-0110,Male,01-10-2023 19:00
11,Ashley,Hernandez,45,01-01-1978,808 Maple Ave,555-0111,Female,01-10-2023 20:00
12,Brian,Lopez,31,01-01-1992,909 Elm Ave,555-0112,Male,01-10-2023 21:00
13,Karen,Gonzalez,38,01-01-1985,1010 Oak Ave,555-0113,Female,01-10-2023 22:00
14,Kevin,Wilson,26,01-01-1997,1111 Pine Ave,555-0114,Male,01-10-2023 23:00
15,Linda,Anderson,50,01-01-1973,1212 Birch Ave,555-0115,Female,02-10-2023 00:00
16,Paul,Thomas,,01-01-1995,1313 Cedar Ave,555-0116,Male,02-10-2023 01:00
17,Jessica,Taylor,29,01-01-1994,1414 Fir Ave,555-0117,Female,02-10-2023 02:00
18,Nancy,Jackson,,01-01-1989,1515 Spruce Ave,555-0118,Female,02-10-2023 03:00
19,Matthew,White,33,01-01-1990,1616 Aspen Ave,555-0119,Male,02-10-2023 04:00
20,Susan,Lopez,,01-01-1987,1717 Maple St,555-0120,Female,02-10-2023 05:00
21,Karen,Gonzalez,38,01-01-1985,1010 Oak Ave,555-0113,Female,02-10-2023 06:00
